#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
16970,Q16970,Tag:building=church
17161,Q17161,Tag:historic:civilization=etruscan
17167,Q17167,Tag:historic:period=roman_republic
17240,Q17240,Key:snowmobile|Tag:route=snowmobile
17514,Q17514,Tag:artwork_type=graffiti
17884,Q17884,Key:lgbtq
18822,Q18822,Tag:source=GPS
19793,Q19793,Tag:playground=seesaw
21204,Q21204,Key:name:pronunciation
22656,Q22656,Tag:resource=oil
22657,Q22657,Tag:building:material=concrete
22667,Q22667,Tag:route=railway
22679,Q22679,Tag:religion=bahai
22698,Q22698,Tag:leisure=park
22715,Q22715,Tag:landuse=vineyard
22733,Q22733,Tag:building=garage|Tag:building=garages
22857,Q22857,Tag:sport=climbing
22908,Q22908,Tag:amenity=social_facility|Tag:social_facility=assisted_living
22995,Q22995,Tag:shop=alcohol|Tag:tourism=wine_cellar
23364,Q23364,Tag:healthcare:speciality=humanistic
23397,Q23397,Tag:water=lake
23413,Q23413,Tag:historic=castle
23442,Q23442,Tag:place=island
23540,Q23540,Tag:denomination=protestant
23712,Q23712,Tag:protection_title=Bien de Interés Cultural
23757,Q23757,Tag:resource=limestone
24354,Q24354,Tag:amenity=theatre
24489,Q24489,Tag:resource=coal
24609,Q24609,Tag:gauge=1000
25391,Q25391,Tag:landform=dune_system
27349,Q27349,Tag:amenity=dentist|Tag:healthcare=dentist
27590,Q27590,Tag:natural=heath
27686,Q27686,Tag:tourism=hotel
27712,Q27712,Tag:denomination=renewal
27981,Q27981,Tag:playground=hopscotch
28077,Q28077,Tag:bath:type=hammam|Tag:leisure=turkish_bath
28179,Q28179,Tag:building:architecture=joseon|Tag:historic:period=joseon
28370,Q28370,Tag:historic:period=koguryo
28427,Q28427,Key:name:cal
28456,Q28456,Tag:historic:period=silla
28567,Q28567,Tag:historic:civilization=mayan
28573,Q28573,Tag:historic:civilization=inca
28575,Q28575,Tag:border_type=county|Tag:place=county
28803,Q28803,Tag:cuisine=sandwich
29358,Q29358,Key:orienteering|Tag:sport=orienteering
29483,Q29483,Tag:healthcare:speciality=palliative
30022,Q30022,Tag:amenity=cafe
30198,Q30198,Tag:wetland=marsh
31207,Q31207,Key:healthcare
31920,Q31920,Tag:sport=swimming
32112,Q32112,Tag:sport=boxing
32731,Q32731,Tag:denomination=polish_national_catholic
32768,Q32768,Tag:historic:civilization=anglo-saxon
32815,Q32815,Tag:building=mosque
32880,Q32880,Key:building:architecture
33203,Q33203,Tag:denomination=methodist
33231,Q33231,Tag:craft=photographer
33506,Q33506,Key:museum|Tag:tourism=museum
33565,Q33565,Tag:building=stilt_house
33709,Q33709,Tag:highway=speed_camera
33837,Q33837,Tag:place=archipelago
34023,Q34023,Tag:tomb=tumulus
34027,Q34027,Key:latitude
34038,Q34038,Tag:waterway=waterfall
34198,Q34198,Key:name:was
34442,Q34442,Key:highway|Tag:highway=road|Tag:route=road
34493,Q34493,Key:motorcycle
34627,Q34627,Tag:building=synagogue
34636,Q34636,Tag:building:architecture=art_nouveau
34679,Q34679,Tag:resource=sand
34740,Q34740,Key:genus
34763,Q34763,Tag:natural=peninsula
34770,Q34770,Key:language
35032,Q35032,Tag:denomination=orthodox
35054,Q35054,Tag:amenity=post_office
35059,Q35059,Key:width
35269,Q35269,Tag:denomination=jehovahs_witness
35273,Q35273,Tag:telescope:type=optical
35473,Q35473,Key:window
35666,Q35666,Tag:natural=glacier
35749,Q35749,Tag:government=parliament
35872,Q35872,Key:boat
35966,Q35966,Tag:historic:civilization=celtic
36253,Q36253,Key:length
36389,Q36389,Tag:sport=taekwondo
36422,Q36422,Tag:historic:era=neolithic
36477,Q36477,Key:longitude
36495,Q36495,Key:name:nan
36539,Q36539,Tag:amenity=baking_oven
36794,Q36794,Key:door
37038,Q37038,Key:advertising
37442,Q37442,Key:kerb|Tag:barrier=kerb
37447,Q37447,Key:postal_code
37901,Q37901,Tag:natural=strait
38490,Q38490,Tag:sport=dog_training
38516,Q38516,Tag:leisure=dog_park
38720,Q38720,Tag:man_made=windmill
39425,Q39425,Tag:tourism=wilderness_hut
39594,Q39594,Tag:natural=bay
39614,Q39614,Tag:landuse=cemetery
39631,Q39631,Tag:healthcare=doctor
39715,Q39715,Tag:man_made=lighthouse
39816,Q39816,Tag:natural=valley
40080,Q40080,Tag:natural=beach
40089,Q40089,Tag:building:material=brick
40203,Q40203,Tag:historic:era=paleolithic
40348,Q40348,Key:lawyer|Tag:office=lawyer
40357,Q40357,Tag:amenity=prison
40561,Q40561,Tag:sport=sumo
40821,Q40821,Tag:healthcare:speciality=surgery
40858,Q40858,Tag:resource=gas
41044,Q41044,Key:currency:RUB
41176,Q41176,Key:building|Tag:building=yes
41253,Q41253,Tag:amenity=cinema
41323,Q41323,Tag:sport=american_football
41466,Q41466,Tag:sport=ice_hockey
41927,Q41927,Tag:cuisine=okinawa_ryori
42253,Q42253,Key:url
42295,Q42295,Tag:natural=shrub
42302,Q42302,Tag:resource=clay
42486,Q42486,Tag:sport=wrestling
42523,Q42523,Tag:biotic_reef:type=atoll
42834,Q42834,Tag:historic:civilization=western_roman
42948,Q42948,Tag:barrier=wall|Tag:support=wall
42973,Q42973,Key:architect|Key:architect:wikidata
43004,Q43004,Tag:religion=animist
43024,Q43024,Key:payment:sms
43114,Q43114,Tag:sport=aikido
43450,Q43450,Tag:sport=gymnastics
43483,Q43483,Tag:man_made=water_well
43501,Q43501,Key:zoo|Tag:tourism=zoo
43812,Q43812,Key:diplomatic:services:passport=yes
44155,Q44155,Tag:historic:era=mesolithic
44377,Q44377,Key:tunnel
44494,Q44494,Tag:craft=grinding_mill
44539,Q44539,Tag:building=temple
44613,Q44613,Tag:amenity=monastery
45584,Q45584,Tag:denomination=vaishnavism
45701,Q45701,Key:waste
45791,Q45791,Tag:man_made=geoglyph
45813,Q45813,Tag:historic:civilization=hun
46169,Q46169,Tag:boundary=national_park
46383,Q46383,Tag:cuisine=sushi
46622,Q46622,Tag:highway=motorway
47053,Q47053,Tag:estuary=yes
47521,Q47521,Key:waterway
47591,Q47591,Tag:building:architecture=byzantine
47629,Q47629,Tag:cuisine=german
47692,Q47692,Tag:garden:style=chinese
47913,Q47913,Tag:government=intelligence
47942,Q47942,Tag:building:architecture=functionalism
48204,Q48204,Tag:office=association
48356,Q48356,Tag:tower:type=minaret
48634,Q48634,Tag:tomb=sarcophagus
48803,Q48803,Tag:landuse=greenhouse_horticulture
49378,Q49378,Tag:denomination=coptic_catholic
49389,Q49389,Key:tourism|Tag:tourism=yes
49833,Q49833,Tag:generator:method=wind_turbine|Tag:generator:source=wind
49844,Q49844,Tag:amenity=post_box
50231,Q50231,Key:china_class
50620,Q50620,Key:ski:telemark
50776,Q50776,Tag:sport=australian_football
52824,Q52824,Tag:historic:period=jomon
53060,Q53060,Tag:barrier=gate
54050,Q54050,Tag:natural=peak
54111,Q54111,Tag:building:architecture=neoclassicism|Tag:building:architecture=neo-classicism|Tag:building:architecture=neoclassical
54831,Q54831,Tag:theatre:type=amphi
55488,Q55488,Tag:railway=station
55493,Q55493,Tag:landuse=railway|Tag:railway=yard
55678,Q55678,Tag:railway=halt|Tag:railway=stop
56061,Q56061,Tag:boundary=administrative
57036,Q57036,Key:sauna|Tag:amenity=sauna|Tag:leisure=sauna
57305,Q57305,Tag:amenity=exhibition_centre
57743,Q57743,Tag:landuse=village_green
58635,Q58635,Key:name:pa|Key:name:pnb
58663,Q58663,Tag:post_box:type=pillar
58878,Q58878,Key:roadtrain
58917,Q58917,Tag:man_made=adit
59772,Q59772,Tag:kiln=lime
59774,Q59774,Tag:denomination=wicca
60995,Q60995,Tag:denomination=russian_orthodox
62447,Q62447,Tag:aeroway=aerodrome
62832,Q62832,Tag:man_made=observatory|Tag:landuse=observatory
64842,Q64842,Tag:denomination=armenian_catholic
64849,Q64849,Tag:denomination=ethiopian_catholic
64868,Q64868,Tag:denomination=chaldean_catholic
64871,Q64871,Tag:denomination=syro-malabar_catholic
64900,Q64900,Tag:denomination=maronite
74156,Q74156,Tag:building:architecture=orientalist
75809,Q75809,Tag:denomination=lutheran
77115,Q77115,Tag:amenity=community_centre
77604,Q77604,Tag:healthcare:speciality=radiology
79007,Q79007,Key:addr:street
79719,Q79719,Key:source:license
79913,Q79913,Tag:operator:type=ngo
80015,Q80015,Tag:healthcare:speciality=gynaecology
80071,Q80071,Key:symbol
80151,Q80151,Tag:clothes=hats
80793,Q80793,Tag:display=sundial
80970,Q80970,Tag:denomination=orthodox
81058,Q81058,Tag:healthcare:speciality=homeopathy
81096,Q81096,Tag:office=engineer
81103,Q81103,Tag:historic=cannon
81235,Q81235,Tag:amenity=atm
81715,Q81715,Key:barrier
81799,Q81799,Tag:amenity=fast_food
81917,Q81917,Tag:tower:type=defensive
82117,Q82117,Tag:building=gatehouse|Tag:historic=city_gate
82650,Q82650,Key:taxi
82799,Q82799,Key:name
82818,Q82818,Tag:railway=switch
83042,Q83042,Tag:healthcare:speciality=neurology
83405,Q83405,Tag:industrial=factory|Tag:man_made=works
83462,Q83462,Tag:sport=weightlifting
88205,Q88205,Tag:castle_type=castrum
89934,Q89934,Tag:political_division=linguistic_community
91122,Q91122,Tag:building=bunker|Tag:military=bunker
91285,Q91285,Tag:fortification=martello_tower
91764,Q91764,Key:trench|Tag:military=trench
91939,Q91939,Tag:bunker_type=hardened_aircraft_shelter
92026,Q92026,Tag:castle_type=shiro
92069,Q92069,Tag:bunker_type=pillbox
93191,Q93191,Tag:denomination=baptist
93267,Q93267,Tag:natural=isthmus
94247,Q94247,Tag:network=US:I
94951,Q94951,Tag:cuisine=regional
101659,Q101659,Tag:megalith_type=dolmen
101815,Q101815,Tag:crop=tea
101849,Q101849,Tag:denomination=reformed
101929,Q101929,Tag:healthcare:speciality=immunology
102078,Q102078,Tag:resource=bauxite
102786,Q102786,Key:short_name
103204,Q103204,Key:flickr
103824,Q103824,Tag:healthcare:speciality=haematology
104319,Q104319,Tag:denomination=adventist|Tag:denomination=seventh_day_adventist
105190,Q105190,Tag:man_made=dyke
105650,Q105650,Tag:healthcare:speciality=urology
105731,Q105731,Key:lock
106123,Q106123,Tag:network=e-road
107390,Q107390,Tag:place=state
107679,Q107679,Tag:natural=cliff
