#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
829348,Q829348,Tag:religion=spiritualist
830705,Q830705,Key:payment:good_to_go
831691,Q831691,Key:building:levels
831844,Q831844,Tag:railway=service_station
832778,Q832778,Tag:tourism=camp_site
833228,Q833228,Tag:healthcare:speciality=shiatsu|Tag:massage=shiatsu
836661,Q836661,Tag:gambling=pachinko
837142,Q837142,Tag:amenity=social_facility|Tag:amenity=nursing_home|Tag:social_facility=nursing_home
838566,Q838566,Tag:craft=metal_construction
838948,Q838948,Tag:tourism=artwork
839922,Q839922,Tag:power=compensator
839954,Q839954,Tag:historic=archaeological_site
840829,Q840829,Tag:building:architecture=barocco|Tag:building:architecture=baroque
841984,Q841984,Tag:cuisine=thai
842284,Q842284,Tag:sport=skateboard
842314,Q842314,Key:bus:lane|Tag:busway=lane
842389,Q842389,Key:share_taxi
842402,Q842402,Tag:building=temple
842478,Q842478,Tag:museum=children
842623,Q842623,Tag:crop=rice
843745,Q843745,Tag:historic:period=classical_greece
843905,Q843905,Key:circumference
844083,Q844083,Tag:denomination=eritrean_orthodox
845318,Q845318,Tag:building:architecture=high-tech
847017,Q847017,Tag:club=sport
847201,Q847201,Key:car_sharing|Tag:amenity=car_sharing
847580,Q847580,Tag:conveying=yes
847950,Q847950,Tag:building=dormitory
848771,Q848771,Tag:denomination=nyingma
849345,Q849345,Tag:denomination=shaktism
849706,Q849706,Tag:aeroway=terminal
850107,Q850107,Tag:building=bungalow
850767,Q850767,Tag:aerialway=chair_lift
851210,Q851210,Tag:compensator=voltage_regulator
852010,Q852010,Tag:barrier=lift_gate
852190,Q852190,Tag:historic=wreck
852389,Q852389,Tag:craft=beekeeper
852718,Q852718,Tag:craft=tinsmith
852989,Q852989,Tag:sport=climbing|Tag:climbing:boulder=yes
853185,Q853185,Key:barbecue_grill|Key:bbq|Tag:amenity=bbq
853854,Q853854,Tag:amenity=clock|Tag:tower:type=clock_tower
856349,Q856349,Tag:denomination=romanian_catholic
856584,Q856584,Tag:building=library
857525,Q857525,Key:notes
857909,Q857909,Tag:amenity=biergarten
859994,Q859994,Key:bike_ride
860861,Q860861,Tag:artwork_type=sculpture
861699,Q861699,Tag:healthcare:speciality=herbalism
861951,Q861951,Tag:amenity=police
862562,Q862562,Tag:railway=signal
862571,Q862571,Tag:industrial=oil
862633,Q862633,Tag:clothes=schoolwear
863404,Q863404,Tag:location=underground
863454,Q863454,Tag:man_made=pier
863756,Q863756,Tag:source=Bing
863915,Q863915,Tag:industrial=port
864440,Q864440,Tag:shop=health_food
865693,Q865693,Tag:shop=gift
866224,Q866224,Tag:sport=pickleball
867269,Q867269,Tag:barrier=haha
869381,Q869381,Tag:amenity=flowerpot
869457,Q869457,Tag:amenity=coworking_space|Tag:office=coworking
871371,Q871371,Tag:denomination=nichiren
871595,Q871595,Tag:cuisine=czech
873442,Q873442,Tag:amenity=financial_advice
875016,Q875016,Tag:building=terrace
875157,Q875157,Tag:leisure=resort
875267,Q875267,Key:conditional
875344,Q875344,Key:name:vi-Hani
876737,Q876737,Tag:sport=disc_golf
876852,Q876852,Tag:leisure=summer_camp
877558,Q877558,Tag:office=logistics
877895,Q877895,Key:addr:conscriptionnumber
878295,Q878295,Tag:craft=tiler
879050,Q879050,Tag:historic=manor|Tag:castle_type=manor
879641,Q879641,Tag:natural=scrub
884257,Q884257,Tag:information=tactile_map
884259,Q884259,Key:tactile_paving
885499,Q885499,Tag:natural=blowhole
886167,Q886167,Tag:crop=flowers
889574,Q889574,Tag:craft=floorer
891698,Q891698,Tag:leisure=pitch|Tag:sport=soccer
892168,Q892168,Key:embankment
893775,Q893775,Tag:protection_title=National_Monument
895060,Q895060,Tag:sport=boules
895471,Q895471,Tag:sport=bowls
896009,Q896009,Tag:highway=secondary
896586,Q896586,Tag:landuse=brownfield
897317,Q897317,Tag:craft=winery
897403,Q897403,Tag:amenity=language_school
900729,Q900729,Tag:generator:type=combined_cycle
900977,Q900977,Tag:amenity=telephone
901922,Q901922,Tag:shop=massage
902378,Q902378,Tag:sport=equestrian
909906,Q909906,Tag:sport=skateboard
910386,Q910386,Tag:aeroway=taxiway
910635,Q910635,Tag:amenity=karaoke_box
911379,Q911379,Tag:usage=spillway
911397,Q911397,Tag:building:architecture=baroque_revival|Tag:building:architecture=neo-baroque|Tag:building:architecture=neobarocco
911663,Q911663,Tag:bridge:movable=bascule
912208,Q912208,Tag:denomination=jodo_shu
912221,Q912221,Tag:denomination=jodo_shinshu
913842,Q913842,Tag:healthcare:speciality=applied_kinesiology
914057,Q914057,Tag:railway:signal_box=mechanical
914711,Q914711,Tag:power=tower
915063,Q915063,Tag:amenity=post_depot
916333,Q916333,Tag:heritage:operator=rce|Tag:heritage=2
918277,Q918277,Tag:cuisine=british
918324,Q918324,Tag:service=aircraft_control
921099,Q921099,Tag:boundary=marker
922480,Q922480,Tag:denomination=church_of_scotland
926383,Q926383,Tag:network=JP:national
926624,Q926624,Tag:historic:period=first_persian_period
927519,Q927519,Tag:emergency=ambulance_station
928357,Q928357,Tag:artwork:material=bronze
928830,Q928830,Key:subway|Tag:station=subway
928960,Q928960,Tag:building:architecture=streamline_moderne
929239,Q929239,Tag:cuisine=lebanese
931309,Q931309,Tag:healthcare:speciality=diagnostic_radiology
932689,Q932689,Tag:amenity=watering_place
933851,Q933851,Tag:military=obstacle_course|Tag:sport=obstacle_course
934309,Q934309,Tag:cuisine=mediterranean
935277,Q935277,Tag:natural=sand
935741,Q935741,Tag:government=election_commission
935908,Q935908,Tag:trench=dugout
937114,Q937114,Tag:memorial=ghost_bike
937774,Q937774,Tag:historic:civilization=helladic
946479,Q946479,Key:minibus
947103,Q947103,Tag:tower:type=watchtower
950310,Q950310,Tag:denomination=hungarian_greek_catholic
950431,Q950431,Tag:bridge:movable=swing|Tag:bridge:moveable=swing
951781,Q951781,Tag:building:prefabricated=yes
953806,Q953806,Tag:public_transport=platform|Tag:highway=bus_stop
958314,Q958314,Key:grape_variety
962715,Q962715,Tag:man_made=gasometer
965389,Q965389,Tag:massage=thai
965847,Q965847,Tag:natural=termite_mound
966571,Q966571,Tag:building:architecture=neo-byzantine
971929,Q971929,Tag:amenity=love_hotel
976015,Q976015,Tag:craft=basket_maker
978071,Q978071,Tag:historic:period=second_persian_period
978659,Q978659,Tag:amenity=vehicle_inspection
986065,Q986065,Tag:china_class=jiedao
994972,Q994972,Key:fixme
995634,Q995634,Tag:leisure=tanning_salon
996564,Q996564,Tag:tower:type=bridge
996850,Q996850,Tag:railway=derail
997921,Q997921,Tag:vending=books
998303,Q998303,Tag:sport=laser_tag
1002812,Q1002812,Tag:designation=metropolitan_district
1003207,Q1003207,Tag:generator:method=photovoltaic
1004435,Q1004435,Tag:leisure=track
1006733,Q1006733,Tag:natural=grassland
1007870,Q1007870,Tag:tourism=gallery
1021290,Q1021290,Tag:amenity=music_school
1021645,Q1021645,Key:office|Tag:building=office
1021711,Q1021711,Tag:leisure=beach_resort
1023606,Q1023606,Tag:socket:chademo=yes
1030817,Q1030817,Tag:line=busbar
1031438,Q1031438,Tag:barn_type=horreo
1032372,Q1032372,Tag:leisure=hackerspace
1034948,Q1034948,Key:payment:i-pass
1043562,Q1043562,Key:internet_access:ssid
1044817,Q1044817,Tag:building=carport
1046686,Q1046686,Tag:healthcare:speciality=allergology
1047163,Q1047163,Key:service:vehicle:detailing
1047284,Q1047284,Tag:vending=condoms
1047832,Q1047832,Tag:man_made=storage_tank
1048525,Q1048525,Tag:leisure=golf_course
1048835,Q1048835,Key:political_division
1049667,Q1049667,Key:surface
1049923,Q1049923,Tag:carpenter=trim
1049976,Q1049976,Tag:healthcare:speciality=transplant
1054650,Q1054650,Key:aerialway
1055213,Q1055213,Tag:network=Sarmiento
1058733,Q1058733,Key:support
1059407,Q1059407,Tag:natural=shingle
1060174,Q1060174,Tag:playground=horizontal_bar
1060525,Q1060525,Tag:network=call-a-bike
1060829,Q1060829,Tag:amenity=concert_hall
1065656,Q1065656,Tag:sport=fitness|Tag:amenity=gym|Tag:leisure=fitness_centre
1066997,Q1066997,Tag:waterway=weir
1068623,Q1068623,Tag:man_made=mast
1068824,Q1068824,Tag:shop=boutique
1070290,Q1070290,Tag:prison_camp=pow_camp
1070325,Q1070325,Tag:sport=ice_stock
1073185,Q1073185,Tag:source=CBERS
1075310,Q1075310,Key:sailboat
1076052,Q1076052,Key:preschool
1076110,Q1076110,Key:diet:kosher
1076291,Q1076291,Tag:barrier=retaining_wall
1077135,Q1077135,Tag:man_made=wildlife_crossing
1077350,Q1077350,Key:maxspeed
1081138,Q1081138,Key:historic
1082925,Q1082925,Tag:railway=traverser
1087850,Q1087850,Tag:tower:construction=dish
1089120,Q1089120,Tag:cuisine=pakistani
1092661,Q1092661,Tag:natural=moor
1093798,Q1093798,Tag:advertising=poster_box
1096878,Q1096878,Tag:sport=scuba_diving
1107656,Q1107656,Tag:leisure=garden
1109069,Q1109069,Tag:piste:type=ski_jump
1110689,Q1110689,Tag:school:de=Förderschule
1112477,Q1112477,Tag:railway=narrow_gauge
1116133,Q1116133,Tag:source=common_knowledge
1122035,Q1122035,Key:payment:telephone_cards
1123613,Q1123613,Tag:socket:schuko=yes
1125300,Q1125300,Tag:building:architecture=georgian
1128503,Q1128503,Tag:building=container
1128669,Q1128669,Tag:denomination=lutheran
1128980,Q1128980,Tag:robot:type=factory
1130322,Q1130322,Tag:reclaimed=yes
1131316,Q1131316,Tag:leaf_cycle=deciduous
1131628,Q1131628,Tag:shop=copyshop
1133195,Q1133195,Tag:natural=scree
1133961,Q1133961,Tag:landuse=commercial
1134824,Q1134824,Tag:building:architecture=stalinist_neoclassicism
1135449,Q1135449,Tag:highway=corridor
1137365,Q1137365,Key:entrance|Tag:building=entrance
1137809,Q1137809,Tag:amenity=courthouse
1138908,Q1138908,Tag:denomination=iglesia_ni_cristo
1139861,Q1139861,Tag:amenity=car_wash
1143018,Q1143018,Tag:amenity=toy_library
1143034,Q1143034,Tag:shop=laundry
1143769,Q1143769,Tag:bridge:movable=submersible
1143785,Q1143785,Key:booth|Tag:covered=booth
1144084,Q1144084,Tag:power=pole
1146283,Q1146283,Tag:barrier=turnstile
1148060,Q1148060,Tag:building:architecture=expressionism
1149405,Q1149405,Tag:site_type=rock_shelter
1151556,Q1151556,Tag:bicycle_parking=building
1154336,Q1154336,Tag:sport=rock_climbing
1154882,Q1154882,Tag:aerialway=zip_line
1156686,Q1156686,Key:roof:shape
1161707,Q1161707,Tag:man_made=survey_point
1165944,Q1165944,Key:landuse
1169958,Q1169958,Tag:zoo=falconry
1175042,Q1175042,Key:supervised
1187580,Q1187580,Tag:designation=non_metropolitan_district
1188075,Q1188075,Key:heritage:operator
1188223,Q1188223,Tag:leisure=dance
1188447,Q1188447,Tag:heritage:operator=bda
1189165,Q1189165,Tag:denomination=nazarene
1191329,Q1191329,Tag:craft=piano_tuner
1191753,Q1191753,Tag:industrial=depot|Key:depot|Tag:amenity=bus_garage
1191982,Q1191982,Tag:seamark:type=marine_farm
1192284,Q1192284,Tag:amenity=food_court
1193463,Q1193463,Tag:gauge=1067
1193753,Q1193753,Tag:megalith_type=alignment
1195098,Q1195098,Tag:political_division=ward
1195245,Q1195245,Tag:shop=beauty
1195412,Q1195412,Key:drive_in
1195942,Q1195942,Tag:amenity=fire_station
1196267,Q1196267,Tag:cuisine=danish
1197451,Q1197451,Tag:gauge=1520
1198075,Q1198075,Tag:denomination=huayan
1198538,Q1198538,Key:traffic_calming
1200750,Q1200750,Key:description
1205829,Q1205829,Tag:denomination=scottish_episcopal
1207703,Q1207703,Tag:playground=climbingframe
1211122,Q1211122,Tag:leaf_type=broadleaved
1224697,Q1224697,Tag:source=digitalglobe
1228562,Q1228562,Key:payment:discover_card
1230600,Q1230600,Tag:industrial=scrap_yard
1232319,Q1232319,Tag:sport=karting
1241568,Q1241568,Tag:tomb=war_grave
1243001,Q1243001,Key:fine
1244442,Q1244442,Tag:building=school
1244860,Q1244860,Tag:shop=country_store|Tag:shop=general
1249483,Q1249483,Key:cyclestreet
1251403,Q1251403,Tag:service=alley
1251750,Q1251750,Tag:craft=distillery
1254933,Q1254933,Tag:observatory:type=astronomical
1260046,Q1260046,Tag:shop=chemist
1267889,Q1267889,Tag:type=waterway|Key:waterway
1268134,Q1268134,Tag:building:architecture=beaux_arts|Tag:building:architecture=beaux-arts
1268865,Q1268865,Tag:railway=light_rail
1272775,Q1272775,Tag:denomination=churches_of_christ
1273217,Q1273217,Key:email
1273786,Q1273786,Tag:power=switchgear
1279822,Q1279822,Tag:amenity=hunting_stand
1281105,Q1281105,Tag:route=piste
1281618,Q1281618,Tag:craft=sculptor
1282870,Q1282870,Tag:leisure=ice_rink
1294471,Q1294471,Tag:internet_access=wired
1294605,Q1294605,Tag:building:architecture=jugendstil
1295201,Q1295201,Tag:shop=grocery
1295316,Q1295316,Tag:emergency=emergency_ward_entrance
1299240,Q1299240,Key:indoor
1301892,Q1301892,Key:payment:szep
1303167,Q1303167,Tag:building=barn
1306755,Q1306755,Key:capital|Role:admin_centre
1307276,Q1307276,Tag:building=detached
1307407,Q1307407,Tag:historic:civilization=tiahuanacota
1308978,Q1308978,Key:cutting
1310967,Q1310967,Tag:shop=car_repair
1311064,Q1311064,Tag:amenity=ice_cream|Tag:shop=ice_cream
1312371,Q1312371,Tag:government=healthcare
1315915,Q1315915,Tag:playground=roundabout
1318959,Q1318959,Tag:shop=toys
1321309,Q1321309,Tag:building=houseboat
1324633,Q1324633,Tag:military=naval_base
1325302,Q1325302,Tag:volcano:status=dormant
1330749,Q1330749,Tag:megalith_type=ring_cairn
1333922,Q1333922,Tag:emergency=access_point|Tag:highway=emergency_access_point
1334113,Q1334113,Key:ref
1334383,Q1334383,Tag:natural=arete
1339195,Q1339195,Tag:building=train_station
1340098,Q1340098,Tag:amenity=driving_school
1342397,Q1342397,Tag:cuisine=iranian
1342743,Q1342743,Tag:species:en=English_Elm|Tag:species=Ulmus_procera
1344551,Q1344551,Tag:barrier=guard_rail
1345388,Q1345388,Tag:sport=dog_racing
1345575,Q1345575,Tag:amenity=ticket_validator
1347279,Q1347279,Tag:power=heliostat
1348006,Q1348006,Tag:place=city_block
1349167,Q1349167,Tag:building=ground_station
1350133,Q1350133,Key:payment:maestro
1351551,Q1351551,Tag:denomination=risshu
1353183,Q1353183,Tag:aeroway=launchpad|Tag:man_made=launch_pad
1357601,Q1357601,Tag:seamark:production_area:category=wind_farm
1361100,Q1361100,Tag:building=bridge
1362225,Q1362225,Tag:building=warehouse
1363025,Q1363025,Tag:zoo=aviary
1363954,Q1363954,Tag:network=Metro de Caracas
1364150,Q1364150,Tag:barrier=toll_booth
1364401,Q1364401,Key:happy_hours
1365243,Q1365243,Tag:healthcare:speciality=tropical
1365704,Q1365704,Tag:railway=roundhouse
1366456,Q1366456,Tag:cuisine=panini
1370598,Q1370598,Tag:amenity=place_of_worship
1371789,Q1371789,Tag:tourism=chalet
1371823,Q1371823,Tag:shop=farm
1374561,Q1374561,Key:bdouble
1378400,Q1378400,Tag:cycleway=lane
1378975,Q1378975,Tag:amenity=conference_centre
1392287,Q1392287,Key:road_marking
1392526,Q1392526,Tag:bicycle_parking=stands
1395196,Q1395196,Tag:amenity=taxi
1395205,Q1395205,Tag:amenity=restaurant
1398201,Q1398201,Key:tidal
1399328,Q1399328,Tag:healthcare:speciality=tuina|Tag:massage=chinese
1399576,Q1399576,Tag:megalith_type=cist
1400086,Q1400086,Tag:building:architecture=federal
1404229,Q1404229,Tag:tomb=rock-cut
1404472,Q1404472,Tag:building:architecture=italian_renaissance
1406161,Q1406161,Key:artwork_subject
1406930,Q1406930,Key:payment:girocard
1408442,Q1408442,Tag:railway:ballastless=yes
1408712,Q1408712,Key:shoulder
1409050,Q1409050,Tag:building=marquee
1410061,Q1410061,Tag:emergency=fire_hose
1410110,Q1410110,Key:branch
1410668,Q1410668,Tag:ownership=national|Tag:protection_title=National Wildlife Refuge
1411287,Q1411287,Tag:amenity=animal_shelter
1411996,Q1411996,Tag:plant:method=run-of-the-river
1413084,Q1413084,Tag:healthcare:speciality=proctology
1413117,Q1413117,Tag:basin=retention
1413170,Q1413170,Tag:craft=bookbinder
1415234,Q1415234,Tag:electrified=contact_line|Tag:frequency=16.7|Tag:voltage=15000
1415899,Q1415899,Tag:ford=stepping_stones
1416259,Q1416259,Tag:healthcare:speciality=body
1419833,Q1419833,Tag:sport=rc_car
1421436,Q1421436,Tag:historic:civilization=nuragic
1424620,Q1424620,Tag:tourism=caravan_site
1426493,Q1426493,Tag:residential=trailer_park
1426772,Q1426772,Tag:megalith_type=passage_grave
1428011,Q1428011,Tag:office=bail_bond_agent
1429218,Q1429218,Tag:bridge=cantilever
1429373,Q1429373,Tag:denomination=exclusive_brethren
1429491,Q1429491,Tag:natural=riverbed
1430816,Q1430816,Tag:healthcare:speciality=paediatric_surgery
1431095,Q1431095,Key:golf_cart
1433492,Q1433492,Tag:megalith_type=stone_ship
1433633,Q1433633,Tag:amenity=parking_space
1434998,Q1434998,Tag:building=static_caravan
1439993,Q1439993,Tag:sport=four_square
1440300,Q1440300,Tag:tower:type=observation
1440476,Q1440476,Tag:tower:construction=lattice
1449340,Q1449340,Key:payment:meal_voucher
1450682,Q1450682,Tag:emergency=defibrillator
1453560,Q1453560,Tag:sport=free_flying
1455871,Q1455871,Tag:amenity=childcare
1458238,Q1458238,Tag:denomination=united_reformed
1465180,Q1465180,Tag:man_made=planter
1466031,Q1466031,Tag:shop=funeral_directors
1468349,Q1468349,Tag:denomination=liberal_catholic
1469645,Q1469645,Tag:government=cadaster
1478783,Q1478783,Tag:amenity=ferry_terminal
1483757,Q1483757,Tag:electricity=solar
1484140,Q1484140,Tag:historic:period=protodynastic_egypt
1489454,Q1489454,Tag:amenity=harbourmaster
1493223,Q1493223,Tag:telescope:type=gamma
1493335,Q1493335,Tag:gauge=1676
1497483,Q1497483,Tag:memorial=cross
1498222,Q1498222,Tag:healthcare:speciality=vascular_surgery
1500138,Q1500138,Key:diet:pescetarian
1500350,Q1500350,Tag:china_class=xiang
1501212,Q1501212,Tag:cuisine=pizza
1503784,Q1503784,Tag:product=pickles
1509937,Q1509937,Tag:shop=perfumery
1513688,Q1513688,Tag:building:architecture=greek_revival
1516054,Q1516054,Tag:craft=scaffolder
1520176,Q1520176,Tag:healthcare:speciality=unani
1521153,Q1521153,Tag:barrier=kissing_gate
1524788,Q1524788,Tag:vending=milk
1528905,Q1528905,Tag:shop=newsagent
1529413,Q1529413,Tag:craft=glaziery|Tag:shop=glaziery
1530022,Q1530022,Tag:operator:type=religious
1530516,Q1530516,Tag:railway=vacancy_detection
1532594,Q1532594,Key:rating
1533036,Q1533036,Tag:animal_shelter:sanctuary=yes
1537326,Q1537326,Tag:network=JP:prefectural
1541206,Q1541206,Tag:denomination=disciples_of_christ
1541373,Q1541373,Tag:sport=climbing
1543615,Q1543615,Tag:fee=no
1546788,Q1546788,Tag:amenity=bbq
1549204,Q1549204,Tag:denomination=kimbanguist
1560125,Q1560125,Tag:building=slurry_tank
1571749,Q1571749,Tag:opening_hours=24/7
1572205,Q1572205,Tag:vending=bottle_return
1576693,Q1576693,Tag:aerialway=gondola
1579009,Q1579009,Tag:sauna=smoke
1579049,Q1579049,Tag:marker=plate
1582389,Q1582389,Tag:sport=padle
1587360,Q1587360,Tag:amenity=letter_box
1587716,Q1587716,Tag:tourism=information
1595639,Q1595639,Tag:museum=local
1595728,Q1595728,Tag:building:architecture=heimatstil
1613416,Q1613416,Key:population
1613929,Q1613929,Tag:emergency=phone
1619873,Q1619873,Key:note
1621657,Q1621657,Tag:leisure=horse_riding
1622507,Q1622507,Tag:religion=unitarian_universalist
1628979,Q1628979,Tag:highway=living_street
1630622,Q1630622,Tag:amenity=drinking_water|Tag:fountain=bubbler
1639395,Q1639395,Tag:highway=bridleway
1639825,Q1639825,Tag:craft=blacksmith
1640824,Q1640824,Key:inscription
1640962,Q1640962,Key:addr:street
1642648,Q1642648,Key:stars
1644347,Q1644347,Tag:amenity=audiologist|Tag:healthcare=audiologist|Tag:shop=hearing_aids
1649815,Q1649815,Tag:man_made=guard_stone
1651566,Q1651566,Tag:building=sty
1652352,Q1652352,Tag:megalith_type=long_barrow
1661732,Q1661732,Tag:barrier=cycle_barrier
1662024,Q1662024,Tag:landuse=industrial
1664398,Q1664398,Tag:man_made=insect_hotel
1665778,Q1665778,Tag:traffic_sign=DE:386.3
1693573,Q1693573,Tag:railway=phone
1698460,Q1698460,Tag:barrier=spikes
1701967,Q1701967,Tag:natural=coastline
1707432,Q1707432,Tag:sport=roller_skating
1707610,Q1707610,Tag:cemetery=war_cemetery
1711697,Q1711697,Tag:zoo=wildlife_park
1716419,Q1716419,Tag:craft=turner
1719546,Q1719546,Tag:sport=scuba_diving
1719654,Q1719654,Tag:street_cabinet=telecom
1721219,Q1721219,Tag:man_made=clearcut
1724341,Q1724341,Tag:man_made=kiln
1729345,Q1729345,Tag:cuisine=caribbean
1730505,Q1730505,Tag:man_made=windpump
1736372,Q1736372,Tag:denomination=catholic_mariavite
1738722,Q1738722,Tag:highway=toll_gantry
1741425,Q1741425,Key:distance|Key:railway:position
1741745,Q1741745,Tag:healthcare:speciality=child_psychiatry
1747689,Q1747689,Tag:historic:civilization=ancient_roman
1750760,Q1750760,Tag:amenity=kneipp_water_cure
1751429,Q1751429,Tag:amenity=fast_food
1752787,Q1752787,Tag:healthcare=birthing_center
1754598,Q1754598,Tag:piste:type=nordic
1756711,Q1756711,Tag:shop=video
1758233,Q1758233,Tag:bridge:movable=retractable
1760988,Q1760988,Tag:craft=saddler
1761072,Q1761072,Tag:park:type=state_park
1772282,Q1772282,Tag:tower:type=radar
1774898,Q1774898,Tag:amenity=clinic|Tag:healthcare=clinic
1776417,Q1776417,Tag:garden:type=monastery
1777138,Q1777138,Tag:highway=raceway
1777360,Q1777360,Tag:denomination=polish_catholic
1777515,Q1777515,Key:junction
1777951,Q1777951,Tag:building=boathouse
1778821,Q1778821,Key:cuisine
1778846,Q1778846,Tag:military=range|Tag:military=training_area
1780834,Q1780834,Key:changing_table
1784782,Q1784782,Tag:healthcare:speciality=venereology
1785071,Q1785071,Tag:historic=fort
1788454,Q1788454,Key:junction|Tag:junction=yes
1789628,Q1789628,Tag:cuisine=croatian
1791429,Q1791429,Tag:building:part=conservatory|Tag:building=conservatory
1792346,Q1792346,Tag:vending=art
1796966,Q1796966,Tag:building=grandstand
1797440,Q1797440,Tag:shelter_type=lean_to
1798641,Q1798641,Tag:tower:type=communication
1798773,Q1798773,Tag:craft=hvac
1799919,Q1799919,Tag:amenity=loading_dock
1814211,Q1814211,Tag:amenity=fast_food|Tag:cuisine=friture
1825472,Q1825472,Tag:bridge=covered
1839674,Q1839674,Tag:boundary=aboriginal_lands
1847533,Q1847533,Tag:network=CN:national
1863818,Q1863818,Tag:museum=maritime
1864226,Q1864226,Tag:man_made=campanile
1891817,Q1891817,Tag:service=spur
1898246,Q1898246,Tag:bridge:movable=lift
1900167,Q1900167,Tag:healthcare=psychotherapist
1907989,Q1907989,Tag:transformer=distribution
1912682,Q1912682,Key:payment
1912748,Q1912748,Tag:building=service
1913301,Q1913301,Key:produce
1923663,Q1923663,Tag:piste:difficulty=advanced
1924077,Q1924077,Tag:craft=stand_builder
1924376,Q1924376,Tag:man_made=monitoring_station
1928330,Q1928330,Tag:railway=crossover
1929812,Q1929812,Tag:healthcare:speciality=systemic
1931528,Q1931528,Key:diameter
1934961,Q1934961,Tag:attraction=dark_ride
1935728,Q1935728,Tag:megalith_type=stone_circle
1936841,Q1936841,Key:hgv_articulated
1939150,Q1939150,Tag:power=line
1939700,Q1939700,Tag:sport=climbing_adventure
1940488,Q1940488,Tag:waterway=turning_point
1942420,Q1942420,Key:mofa
1967635,Q1967635,Tag:building:architecture=postconstructivism
1971570,Q1971570,Tag:man_made=flagpole
1975513,Q1975513,Tag:sport=shuffleboard
1975677,Q1975677,Tag:aerialway=rope_tow
1976594,Q1976594,Tag:amenity=science_park
1993885,Q1993885,Tag:man_made=nesting_site
1995305,Q1995305,Tag:zoo=birds
1996635,Q1996635,Tag:craft=optician|Tag:shop=optician
1999572,Q1999572,Tag:gauge=1435
1999990,Q1999990,Tag:biotic_reef:type=fringing
2002155,Q2002155,Tag:highway=emergency_bay
2002539,Q2002539,Tag:amenity=bureau_de_change
2008263,Q2008263,Tag:railway:signal_box=electric
2010240,Q2010240,Tag:power=catenary_mast
2017004,Q2017004,Tag:shop=golf
2032421,Q2032421,Tag:denomination=santo_daime
2034021,Q2034021,Tag:craft=dressmaker
2046325,Q2046325,Tag:megalith_type=round_barrow
2046594,Q2046594,Tag:amenity=parcel_locker
2048319,Q2048319,Tag:waterway=ditch
2054377,Q2054377,Tag:level=0
2057442,Q2057442,Tag:piste:difficulty=novice
2060869,Q2060869,Tag:denomination=czechoslovak_hussite
2063507,Q2063507,Tag:landuse=recreation_ground|Tag:leisure=recreation_ground
2072285,Q2072285,Tag:craft=atelier
2072840,Q2072840,Tag:sport=crossfit
2090555,Q2090555,Tag:shop=clothes|Tag:shop=fashion
2091725,Q2091725,Tag:highway=passing_place
2104072,Q2104072,Tag:bridge:structure=floating
2111082,Q2111082,Key:seasonal
2111762,Q2111762,Tag:industrial=machine_shop
2126722,Q2126722,Tag:cycle_highway=yes
2131895,Q2131895,Tag:robot:type=lawn_mower
2137499,Q2137499,Tag:basin=infiltration
2140665,Q2140665,Tag:amenity=charging_station
2141822,Q2141822,Tag:railway=hump_yard
2141946,Q2141946,Tag:office=travel_agent
2143825,Q2143825,Tag:route=hiking
2144320,Q2144320,Tag:power=line
2144962,Q2144962,Key:repair
2145163,Q2145163,Tag:highway=trunk
2146388,Q2146388,Tag:emergency=marine_refuge
2147761,Q2147761,Tag:cuisine=rhenish
2151232,Q2151232,Tag:locality=townland
2152783,Q2152783,Tag:craft=rigger
2160381,Q2160381,Key:payment:service_voucher
2164694,Q2164694,Tag:barrier=cattle_grid
2175765,Q2175765,Tag:railway=tram_stop
2181709,Q2181709,Tag:playground=springy
2190251,Q2190251,Tag:amenity=arts_centre
2207288,Q2207288,Key:craft
2207370,Q2207370,Tag:amenity=seat
2215841,Q2215841,Tag:sport=cycling
2217279,Q2217279,Tag:emergency=assembly_point
2221810,Q2221810,Tag:shop=medical_supply
2221906,Q2221906,Key:location
2235104,Q2235104,Tag:shop=chandler|Tag:shop=ship_chandler
2243978,Q2243978,Tag:shop=music
2244608,Q2244608,Tag:leisure=bird_hide
2245442,Q2245442,Key:pump
2251535,Q2251535,Tag:service=driveway
2259176,Q2259176,Tag:designation=common|Tag:leisure=common
2271554,Q2271554,Key:railway:switch:heated
2272897,Q2272897,Tag:denomination=alliance
2274762,Q2274762,Tag:source=BAG
2280583,Q2280583,Tag:sport=krachtbal
2281788,Q2281788,Tag:tourism=aquarium
2295670,Q2295670,Tag:vending=sweets
2298412,Q2298412,Tag:generator:source=solar
2300314,Q2300314,Tag:barrier=jersey_barrier
2301114,Q2301114,Tag:shop=variety_store
2309609,Q2309609,Tag:historic=wayside_cross
2310214,Q2310214,Tag:leisure=pitch
2310405,Q2310405,Tag:robot:type=toy
2311847,Q2311847,Tag:bunker_type=personnel_shelter
2311958,Q2311958,Tag:political_division=canton
2312102,Q2312102,Tag:electrified=ground-level_power_supply
2319042,Q2319042,Key:ref:vatin
2320005,Q2320005,Tag:historic:civilization=greek_egyptian|Tag:historic:period=ptolemaic_egypt
2324919,Q2324919,Tag:protection_title=State_Forest
2326366,Q2326366,Tag:network=stadtradhamburg
2327632,Q2327632,Tag:museum_type=municipal
2328332,Q2328332,Tag:operator=Stadtverkehr_Lübeck
